target_pitch_type,target_pitch_label,feature,mean_beta,mean_abs_beta,pitchers,mean_target_rate
FS,splitter (FS),prev_pitch_type_KC,0.09782904765402753,0.09782904765402753,2,0.10143318322949438
FS,splitter (FS),prev_pitch_type_FS,0.0344818561987877,0.0973646343964609,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_ST,-0.05264481001480427,0.08121246408873459,8,0.1641764812777417
FS,splitter (FS),prev_description_blocked_ball,0.015041728895230993,0.07747907417653561,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_FF,-0.04324770531641673,0.07284878940498771,14,0.16947018936037767
FS,splitter (FS),prev_pitch_type_UN,-0.06796811587272694,0.06796811587272694,1,0.11091234347048301
FS,splitter (FS),prev_description_ball,0.005045029337748624,0.0596334755096019,18,0.18738253213970857
FS,splitter (FS),prev_description_foul,0.005688883612418106,0.05157649863982305,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_CU,0.03420403840231372,0.05106743046363681,3,0.12663954427564006
FS,splitter (FS),prev_description_swinging_strike,0.015518217409500688,0.050514280196952144,18,0.18738253213970857
FS,splitter (FS),prev_description_called_strike,0.01418897245811862,0.048914504059657415,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_FC,-0.02542044749641794,0.04095016856828173,9,0.1699964265877035
KC,knuckle curve (KC),prev_description_missed_bunt,-0.08433916305212913,0.21061576706855664,4,0.22553575754443217
KC,knuckle curve (KC),count_3-0,-0.18396971917403204,0.18396971917403204,13,0.1947832317888442
KC,knuckle curve (KC),prev_description_foul_bunt,-0.053513143779462966,0.17923590728025904,13,0.1947832317888442
KC,knuckle curve (KC),prev_description_swinging_strike_blocked,0.08921165963689859,0.1613992586086501,13,0.1947832317888442
KC,knuckle curve (KC),count_0-2,0.11614662819375199,0.12218663990037149,13,0.1947832317888442
KC,knuckle curve (KC),count_3-1,-0.11033710250681497,0.11149793458830255,13,0.1947832317888442
KC,knuckle curve (KC),count_1-2,0.1048824640365905,0.10969046320272496,13,0.1947832317888442
KC,knuckle curve (KC),prev_description_foul_tip,-0.0029295904681220786,0.10350053258927029,13,0.1947832317888442
KC,knuckle curve (KC),prev_pitch_type_START,0.05534371776654489,0.10163555504777072,13,0.1947832317888442
KC,knuckle curve (KC),prev_pitch_type_SI,0.05664406846413044,0.09583802521936086,12,0.18860285479602099
KC,knuckle curve (KC),count_2-0,-0.0952250496134488,0.0952250496134488,13,0.1947832317888442
KC,knuckle curve (KC),prev_pitch_type_KC,0.06273036124431315,0.09378254463735723,13,0.1947832317888442
KC,knuckle curve (KC),prev_pitch_type_FS,0.09005507010907038,0.09312013110552791,2,0.15294019749964016
KC,knuckle curve (KC),count_2-2,0.0810291471627311,0.09301112807403616,13,0.1947832317888442
KC,knuckle curve (KC),prev_pitch_type_FF,0.08083850921089776,0.09266672717121488,11,0.21391911570472502
KC,knuckle curve (KC),prev_pitch_type_FC,-0.0024026941636082766,0.08544240804163317,5,0.21451107426127275
KC,knuckle curve (KC),prev_pitch_type_ST,-0.00021707775222857095,0.07917567768219046,6,0.12877537153331436
KC,knuckle curve (KC),stand_R,-0.020992746285008454,0.07286966583813831,13,0.1947832317888442
KC,knuckle curve (KC),prev_pitch_type_PO,-0.06488384466599223,0.06488384466599223,1,0.23476874003189793
KC,knuckle curve (KC),prev_description_pitchout,-0.06488384466599048,0.06488384466599048,1,0.23476874003189793
KC,knuckle curve (KC),prev_pitch_type_SL,0.03817913455812301,0.06272800214656722,12,0.18925851990662257
KC,knuckle curve (KC),prev_description_swinging_strike,0.0031203564932605213,0.05550823174297273,13,0.1947832317888442
KC,knuckle curve (KC),count_1-0,-0.04501618223867425,0.05044026723524597,13,0.1947832317888442
KC,knuckle curve (KC),prev_description_blocked_ball,-0.029810388517699477,0.050021650527714415,13,0.1947832317888442
KC,knuckle curve (KC),count_3-2,-0.029499707410360506,0.046083442831288526,13,0.1947832317888442
KC,knuckle curve (KC),count_1-1,0.01949064782941884,0.04597065599976364,13,0.1947832317888442
KC,knuckle curve (KC),count_2-1,-0.0223418347791597,0.045141570248133846,13,0.1947832317888442
KC,knuckle curve (KC),count_0-1,-0.00822061217162552,0.044004294740442755,13,0.1947832317888442
KC,knuckle curve (KC),prev_description_foul,-0.020286239510094863,0.04184984757267455,13,0.1947832317888442
KC,knuckle curve (KC),prev_description_ball,-0.009312319050133371,0.040427711607721135,13,0.1947832317888442
KC,knuckle curve (KC),prev_description_called_strike,-0.000882475888536751,0.03184527491647034,13,0.1947832317888442
KC,knuckle curve (KC),prev_pitch_type_UN,-0.014221066177522834,0.014221066177522834,1,0.038998211091234344
SI,sinker (SI),prev_pitch_type_UN,0.0465575660561657,0.30076873399081105,5,0.18096875762133163
SI,sinker (SI),count_0-2,-0.13017118465708263,0.2055987017092389,83,0.18967854099184164
SI,sinker (SI),prev_description_missed_bunt,-0.0451391924167307,0.2049989187031462,41,0.2108118810172502
SI,sinker (SI),prev_pitch_type_CS,0.11761957913120366,0.18864917002825185,5,0.1657871148626754
SI,sinker (SI),count_1-2,-0.10292086760568007,0.18358051580826135,83,0.18967854099184164
SI,sinker (SI),count_3-0,0.0689484435238066,0.17932585380240174,83,0.18967854099184164
SI,sinker (SI),prev_description_bunt_foul_tip,-0.015552379786421038,0.17691025953546677,8,0.19023404871112934
SI,sinker (SI),count_2-2,-0.06478372877647584,0.16196598740608673,83,0.18967854099184164
SI,sinker (SI),count_3-1,0.08390089576429546,0.15459163156023126,83,0.18967854099184164
SI,sinker (SI),count_1-1,-0.04388147512352695,0.1504895784872278,83,0.18967854099184164
SI,sinker (SI),count_0-1,-0.040247278237598,0.1489956804889614,83,0.18967854099184164
SI,sinker (SI),stand_R,0.0659434363613857,0.148488133024239,83,0.18967854099184164
SI,sinker (SI),count_2-0,0.0512047540500357,0.14299087661295437,83,0.18967854099184164
SI,sinker (SI),count_3-2,0.005231996141619227,0.14290118982018482,83,0.18967854099184164
SI,sinker (SI),count_2-1,-0.006256535041195745,0.13829845735956103,83,0.18967854099184164
SI,sinker (SI),prev_pitch_type_START,0.0207387446737873,0.13687105975038635,83,0.18967854099184164
SI,sinker (SI),count_1-0,0.0032569044309275026,0.13464579161551793,83,0.18967854099184164
SI,sinker (SI),prev_pitch_type_PO,0.0038319495136343116,0.13299813177456452,13,0.15641469101165256
